/M0/D (Iref=0.00015) X,/M0/D (Iref=0.00015) Y
0,-1.805528499509238e-18
0.8,0.008974144986192253
1.6,0.01411846094369575
2.4,0.01536905116253183
3.2,0.01541552335526271
4,0.0154260648190286
4.8,0.01543352428200757
5.6,0.01543964700326169
6.399999999999999,0.0154450047758235
7.199999999999999,0.01544985480329181
7.999999999999999,0.0154543346132622
8.799999999999999,0.01545852743203148
9.6,0.0154624882834409
10.4,0.01546625599828619
11.2,0.01546985936859614
12,0.01547332057480584
12.8,0.01547665722448162
13.6,0.01547988363212983
14.4,0.01548301165947692
15.2,0.01548605128865411
16,0.01548901102632727
16.8,0.01549189819700972
17.6,0.01549471916146744
18.40000000000001,0.01549747948309384
19.20000000000001,0.01550018405724297
20.00000000000001,0.01550283721359863
20.80000000000001,0.01550544279850615
21.60000000000001,0.01550800424213302
22.40000000000001,0.01551052461393671
23.20000000000001,0.01551300666897908
24.00000000000001,0.01551545288696443
24.80000000000001,0.01551786550541894
25.60000000000001,0.01552024654809194
26.40000000000001,0.01552259784942005
27.20000000000001,0.01552492107571284
28.00000000000001,0.01552721774358655
28.80000000000001,0.01552948923606857
29.60000000000002,0.01553173681671811
30.40000000000002,0.01553396164204606
31.20000000000002,0.01553616477247053
32.00000000000001,0.01553834718200386
32.80000000000001,0.01554050976683859
33.60000000000001,0.01554265335297183
34.40000000000001,0.0155447787029901
35.2,0.0155468865221153
36,0.0155489774636037
36.8,0.01555105213357171
37.59999999999999,0.01555311109531785
38.39999999999999,0.01555515487319674
39.19999999999999,0.01555718395609764
40,0.01555919880057062
